query,message_id,top_sections,section_match,cosine_similarity
"Is there a fit for purpose, fitness for purpose, fitness for the purposes, or fit for the purposes requirement or provision?",61662949-a61a-418b-b4fc-23b6896b1181,['101.54'],NO_MATCH,0.6685364842414856
Is there a Price Adjustment Mechanism?,dd8374c7-5ba9-46dc-bf30-23d667df5744,['5.5.4'],NO_MATCH,0.7740015387535095
How does the Price Adjustment Mechanism work?,aef7b7f4-ac9c-46e4-964f-2d6a3d751fa9,['5.10'],NO_MATCH,0.7805463075637817
Are there any Performance Liquidated Damages? What are the various types of Performance Liquidated Damages?,2339e71c-bbbc-4046-b900-f06e6a30ab57,"['10A.4', '10A.4.2']",NO_MATCH,0.6564054489135742
"Is there a cap specifically for Performance Liquidated Damages? If not, are the Performance Liquidated Damages uncapped?",389c5249-0acc-4dc2-898b-5db52066843d,"['10A.4', '10A.4.2', '10A.4.1']",NO_MATCH,0.6969160437583923
Are the Performance Liquidated Damages sole and exclusive remedy?,fdcba065-83cd-4afd-b57f-88798b8fcc4d,"['10A.4', '10A.4.2']",NO_MATCH,0.5928934812545776
Are there any Delay or Milestone Liquidated Damages? What are the various types of Delay or Milestone Liquidated Damages?,3eb3cb5c-a069-45ee-9d43-36e219d6eabb,"['10A.4.2', '10A.4']",NO_MATCH,0.7365745902061462
"Is there a cap specifically for Delay or Milestone Liquidated Damages? If not, are the Delay or Milestone Liquidated Damages uncapped?",2a45e1cc-cab8-4ecd-86c5-abe96f957fd8,"['10A.4.2', '10A.4', '10A.4.1']",NO_MATCH,0.7328308820724487
Are the Delay or Milestone Liquidated Damages sole and exclusive remedy?,7c551bd6-8a26-4816-a879-a55188b8c031,"['10A.4.2', '10A.4', '10A.4.1']",NO_MATCH,0.7000132203102112
"Is there an Aggregate or Overall Cap of Liability for the Contractor? Is it an absolute value, or a percentage?",4767cb48-2fc3-448f-9771-4801a3c8a687,[],ALL_MATCHED,0.7349309325218201
Is there an Exclusion or Waiver of Consequential Losses?,3491a0ce-8944-44a5-bca0-f07f4bfc3fe5,"['15.1.3', '15.9']",NO_MATCH,0.6612681150436401
Is there an Exclusion or Waiver of Consequential Damages?,72458aa6-1872-4367-9e70-b78a6be2b276,['19.4.4'],ALL_MATCHED,0.7547863721847534
Is there an Unknown or Differing Site Conditions clause (or something similar)? Which items or topics are included as part of Unknown or Differing Site Conditions?,fdf794a0-bab2-4986-969e-455a8151c2de,"['4.2', '1.3']",PARTIAL_MATCHED,0.7749974727630615
Is there any compensation mechanism or right to claim associated with Unknown or Differing Site Conditions?,cb44c2a4-27b0-4ea2-8978-e5b79dff6e5e,"['15.7.8', '4.2', '15.15']",ALL_MATCHED,0.7186557054519653
Is there a baseline report describing the initial state of the project site and all associated parcels of land? Is there a Geotechnical Baseline Report (GBR)?,f51e74e5-0462-466e-ba79-3a4a1e0848fa,['5.7'],ALL_MATCHED,0.7576161623001099
Does the Contractor have the Right to Terminate the contract or project if the Client is in Default? What Client Defaults give the Contractor the right to Terminate?,581ae954-60e9-4f8b-8c25-f718fc023493,"['19.2', '19.4']",ALL_MATCHED,0.8301292657852173
"Is there any compensation mechanism or right to claim for the Contractor in case of market shortage or unavailability of materials, equipment and/or labor, beyond the Contractor's control?",6f9bb0aa-34ce-4f1d-a0da-53014e83bdb0,['17.1.4'],NO_MATCH,0.7508877515792847
"Is there a Dispute Adjudication Board or Dispute Resolution Board, or similar mechanism?",651537e8-c5ad-42b0-8216-a59611faf87a,['19.5'],NO_MATCH,0.7729910612106323
How is the Dispute Adjudication Board or Dispute Resolution Board formed?,331d8f2a-f74e-4fe2-80bb-a01c79554e3c,"['19.6.3', '19.5']",NO_MATCH,0.6981515288352966
"Are the decisions taken by the Dispute Adjudication Board or Dispute Resolution Board immediately affordable? If a dispute persists after the Board's decision, what is the next step (is it Arbitration)?",2b7d2b09-7f1e-423e-885d-279172952c1a,"['19.5', '19.6.3']",PARTIAL_MATCHED,0.8023984432220459
Is there a Parent Company Guarantee or Mother Company Guarantee?,5211df02-6930-4412-854a-7123718bfc2d,['19.1.1.17'],NO_MATCH,0.8451944589614868
Does the Parent Company or Mother Company have the same rights as the Contractor for which it is a Guarantor?,b9c3f858-e339-45a9-a453-b4a499e0162f,[],ALL_MATCHED,0.8032363057136536
Is the Parent Company Guarantee or Mother Company Guarantee limited to the Contractor's Overall Cap of Liability?,8f7ed4bd-3030-4a53-9c75-87e49d79e0b3,['19'],ALL_MATCHED,0.7569248080253601
When does the Parent Company Guarantee or Mother Company Guarantee expire?,cc61cb9e-a35b-4689-9976-d5dc27c836cc,['19.1.1.17'],NO_MATCH,0.819550633430481
Is there a Change in Law provision? Which changes in law are covered by it?,9df6530e-c925-4fe1-8f17-5dd56f4ed4a9,"['15.7.8', '16.1.1']",PARTIAL_MATCHED,0.8347276449203491
Are any laws or types of law explicitly excluded from the Change in Law provision?,0e3d6bef-1869-481b-9805-06b722c289bc,"['16.1.1', '15.7.8']",NO_MATCH,0.6820187568664551
Is there any information for how changes in tax law are handled?,b83a0c04-cdbd-4bcd-8aa6-027cb79630ad,"['16.1.2', '16.1.1']",NO_MATCH,0.6416307687759399
Is there a Force Majeure provision?,d8f0760d-a68f-4411-91af-4072b9970933,[],ALL_MATCHED,0.550711989402771
What is the definition of Force Majeure in this contract? Which events are considered Force Majeure? How is a Force Majeure event determined?,cbeeeb21-2c98-4475-a5e4-bf07bc298be7,[],ALL_MATCHED,0.6616097688674927
Is the Contractor compensated for time and cost in the case of a Force Majeure event? How is a Force Majeure event determined?,87fc39ec-4629-4dba-b20d-7afca6b8cd65,"['15.7.8', '15.7.4', '15.6.2']",NO_MATCH,0.7547985315322876
Is a pandemic or epidemic event considered a Force Majeure event as defined in this contract?,1ec45591-15b7-4d75-bda4-9ade86846a60,"['15.6.2', '15.7.4']",NO_MATCH,0.7434350252151489
What is the Design Review and Approval Process? I need to know the different actors and stakeholders that are clearly identified in the Design Review and Approval Process.,95744120-1114-4082-9b69-dd9d9e581185,"['4.3', '3.1.2', '4.3.4.5']",PARTIAL_MATCHED,0.6455650329589844
Are deadlines and timeframes clearly specified in the Design Review and Approval Process?,adac6716-aaef-4794-b419-e883fdafbe71,"['3.1.5', '3.1.5.2', '3.1.2']",PARTIAL_MATCHED,0.811843991279602
"If third parties other than OPG (the Client) and the Contractor are involved in the Design Review and Approval process, is their timeline for review and approval concurrent with the Client's timeline?",53f93c5b-9b83-47c3-988d-d78bdfcea988,"['3.1.5', '3.1.5.2', '3.1.2']",NO_MATCH,0.7795257568359375
"If approval of a Design is not provided within the timeframe explicited for Design Review and Approval Process, can the Contractor proceed? Is there a provision for Tacit Approval?",897961a4-c185-4d6b-a144-b0f7bc3853d5,"['3.1.5', '3.1.2', '3']",PARTIAL_MATCHED,0.6770809888839722
Is there compensation or a right to claim both time (delay) and cost for the Contractor if the Client is late in Design Approval or Validation?,c82582ff-1881-46cf-880d-0621fe33e3d6,"['19A.2.2', '19.2.8', '15.15']",PARTIAL_MATCHED,0.776252806186676
Does the Contractor have the Right to Suspend the Work? Under what conditions? Is this Right to Suspend the Work related to a Client Default? Does the contractor have compensation or a right to claim for both time and cost for suspended work?,393bb19e-f840-4345-93a0-8bf6b9903ea1,"['19.2.8', '19.4', '20.4']",PARTIAL_MATCHED,0.7976446151733398
Is this Right to Suspend the Work related to a Client Default?,ba6194e9-e43a-464d-9534-702ef14fd1aa,"['19.4', '19.2.8', '19.2']",ALL_MATCHED,0.7288904190063477
Does the contractor have compensation or a right to claim for both time and cost for suspended work?,6e4456a1-4931-435a-ad81-02fa594200a4,"['19.2.8', '19.4', '15.9']",PARTIAL_MATCHED,0.8022947311401367
Does the Contractor have the right to compensation for delays in obtaining permit approvals?,7905974d-5ac6-4deb-8e80-64ced65e2d20,"['19A.2.2', '15.7.4', '5.5.8']",PARTIAL_MATCHED,0.8542601466178894
Can the Contractor claim time extensions for delays in permit approvals from third parties?,5c73e82d-c759-484c-88ff-f7f0c515f7d4,"['3.1.2', '4.3.4.5', '15.9']",NO_MATCH,0.8498814702033997
Is the Contractor entitled to cost reimbursement for permit approval delays?,da755915-ea6c-44a2-bda1-4727080edbeb,"['15.7.4', '8.1.2', '15.9']",PARTIAL_MATCHED,0.8769179582595825
"Which third parties, agencies, or authorities are involved in the permit approval process?",edf92f52-e226-48b3-b235-3ac3bc148d63,"['6.1', '4.3', '4.3.9']",PARTIAL_MATCHED,0.6962370872497559
What is the process for obtaining and delivering approved permits for construction work?,d167b1e7-4c45-4417-bd51-66c925c08468,"['4.3', '5.6', '5.7']",PARTIAL_MATCHED,0.8182088136672974
What is the permit approval process for this project?,252be7c6-cb40-4d94-ab45-601481a23a61,"['4.3', '5.6', '4.3.9']",PARTIAL_MATCHED,0.8211460709571838
What are the deadlines and timeframes for each permit in the approval process?,ef951116-4eaa-4d15-9861-3fb0f3279cd7,"['4.4', '5.7']",PARTIAL_MATCHED,0.6582465171813965
